batch_id|batch_number|rows_migrated|total_migrated|finished|duration_ms
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|107|250|26750|f|300
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|108|250|27000|f|436
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|109|250|27250|f|337
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|110|250|27500|f|354
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|111|250|27750|f|460
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|112|250|28000|f|353
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|113|250|28250|f|340
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|114|250|28500|f|356
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|115|250|28750|f|360
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|116|250|29000|f|353
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|117|250|29250|f|335
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|118|250|29500|f|428
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|119|250|29750|f|328
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|120|250|30000|f|380
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|121|250|30250|f|349
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|122|250|30500|f|346
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|123|250|30750|f|325
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|124|250|31000|f|333
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|125|250|31250|f|319
progress|batch=125|rows=31250
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|126|250|31500|f|472
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|127|250|31750|f|398
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|128|250|32000|f|346
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|129|250|32250|f|388
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|130|250|32500|f|347
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|131|250|32750|f|440
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|132|250|33000|f|473
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|133|250|33250|f|408
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|134|250|33500|f|362
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|135|250|33750|f|333
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|136|250|34000|f|376
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|137|250|34250|f|377
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|138|250|34500|f|354
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|139|250|34750|f|308
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|140|250|35000|f|348
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|141|250|35250|f|349
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|142|250|35500|f|428
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|143|250|35750|f|338
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|144|250|36000|f|347
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|145|250|36250|f|327
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|146|250|36500|f|343
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|147|250|36750|f|360
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|148|250|37000|f|320
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|149|250|37250|f|345
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|150|250|37500|f|348
progress|batch=150|rows=37500
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|151|250|37750|f|382
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|152|250|38000|f|327
